team_id,wins,draws,losses
T-01,3,3,6
T-02,0,2,1
T-03,34,12,22
T-04,10,9,20
T-05,8,4,10
T-06,16,9,11
T-07,0,1,5
T-08,1,0,2
T-09,65,15,13
T-10,2,7,12
T-11,7,8,15
T-12,6,5,16
T-13,10,6,14
T-14,13,5,6
T-15,1,0,2
T-16,9,4,11
T-17,6,5,10
T-18,8,4,6
T-20,1,0,2
T-21,4,4,9
T-22,11,6,13
T-24,2,2,2
T-25,5,2,8
T-26,0,2,4
T-27,0,0,6
T-28,32,21,11
T-29,0,0,3
T-30,28,10,17
T-31,34,9,5
T-32,5,3,13
T-33,2,1,6
T-34,0,0,3
T-35,0,3,6
T-36,9,3,8
T-37,0,1,2
T-38,3,4,11
T-39,0,0,3
T-40,0,2,1
T-41,28,17,15
T-42,3,1,8
T-43,1,0,5
T-44,16,7,22
T-45,0,1,2
T-46,16,16,27
T-47,4,6,8
T-48,25,11,3
T-49,0,6,15
T-50,10,6,26
T-51,4,3,11
T-52,2,5,4
T-53,19,5,6
T-54,0,0,3
T-55,7,9,6
T-56,5,3,9
T-57,15,6,11
T-58,13,5,6
T-59,0,0,3
T-60,2,6,1
T-61,7,2,5
T-62,8,2,8
T-63,4,2,12
T-64,4,8,14
T-65,4,3,2
T-66,2,1,6
T-67,0,0,3
T-68,1,1,1
T-69,1,1,4
T-70,2,4,6
T-71,7,10,24
T-72,13,6,4
T-73,25,13,18
T-74,26,16,17
T-75,12,6,14
T-76,1,0,5
T-77,0,0,3
T-78,0,1,2
T-79,3,5,10
T-80,2,1,2
T-81,2,0,1
T-82,0,0,3
T-83,28,11,14
T-84,19,12,10
T-85,0,4,2
T-86,21,11,5
T-87,14,7,7
T-88,0,0,3
