position_name,award_name
forward,Golden Boot
forward,Silver Boot
forward,Bronze Boot
forward,Golden Boot
forward,Golden Boot
forward,Silver Boot
forward,Silver Boot
forward,Golden Boot
forward,Golden Boot
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
forward,Golden Boot
forward,Silver Boot
forward,Silver Boot
forward,Bronze Boot
forward,Bronze Boot
forward,Bronze Boot
forward,Bronze Boot
forward,Golden Boot
forward,Silver Boot
forward,Silver Boot
midfielder,Silver Boot
forward,Golden Boot
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
forward,Best Young Player
forward,Best Young Player
forward,Best Young Player
forward,Best Young Player
forward,Silver Boot
forward,Silver Boot
forward,Golden Boot
midfielder,Golden Boot
forward,Best Young Player
midfielder,Best Young Player
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
midfielder,Golden Boot
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
midfielder,Bronze Boot
midfielder,Bronze Boot
defender,Bronze Boot
midfielder,Best Young Player
midfielder,Best Young Player
defender,Best Young Player
forward,Bronze Boot
forward,Bronze Boot
forward,Bronze Boot
forward,Bronze Boot
forward,Bronze Boot
forward,Golden Boot
forward,Golden Boot
midfielder,Silver Boot
forward,Silver Boot
forward,Silver Boot
forward,Bronze Boot
midfielder,Bronze Boot
midfielder,Bronze Boot
forward,Best Young Player
midfielder,Best Young Player
midfielder,Best Young Player
forward,Silver Boot
midfielder,Silver Boot
midfielder,Silver Boot
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
midfielder,Silver Boot
midfielder,Silver Boot
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
defender,Best Young Player
defender,Best Young Player
defender,Best Young Player
defender,Best Young Player
forward,Golden Ball
forward,Golden Ball
forward,Golden Ball
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
forward,Silver Ball
forward,Silver Ball
forward,Silver Ball
forward,Golden Ball
forward,Golden Ball
forward,Golden Ball
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
forward,Bronze Ball
midfielder,Bronze Ball
midfielder,Bronze Ball
forward,Bronze Boot
forward,Bronze Boot
defender,Best Young Player
defender,Best Young Player
defender,Best Young Player
midfielder,Silver Ball
midfielder,Silver Ball
forward,Bronze Ball
forward,Bronze Ball
forward,Bronze Ball
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
midfielder,Bronze Boot
midfielder,Bronze Boot
midfielder,Bronze Boot
defender,Best Young Player
defender,Best Young Player
midfielder,Golden Ball
midfielder,Golden Ball
midfielder,Golden Ball
midfielder,Golden Ball
midfielder,Silver Boot
midfielder,Silver Boot
midfielder,Silver Boot
midfielder,Silver Boot
midfielder,Bronze Ball
midfielder,Bronze Ball
midfielder,Bronze Ball
midfielder,Bronze Ball
goal keeper,Silver Ball
goal keeper,Silver Ball
forward,Bronze Ball
forward,Golden Boot
forward,Golden Boot
forward,Bronze Boot
forward,Bronze Boot
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
midfielder,Best Young Player
midfielder,Best Young Player
midfielder,Best Young Player
midfielder,Best Young Player
forward,Golden Ball
forward,Golden Boot
midfielder,Silver Ball
midfielder,Silver Ball
midfielder,Silver Ball
midfielder,Silver Ball
defender,Silver Ball
forward,Silver Boot
forward,Bronze Boot
forward,Bronze Boot
forward,Bronze Boot
midfielder,Best Young Player
midfielder,Best Young Player
midfielder,Best Young Player
forward,Golden Ball
forward,Golden Ball
forward,Bronze Boot
forward,Bronze Boot
forward,Silver Ball
forward,Silver Ball
midfielder,Silver Ball
forward,Golden Boot
forward,Golden Boot
midfielder,Golden Boot
forward,Bronze Ball
forward,Bronze Ball
midfielder,Bronze Ball
forward,Bronze Ball
forward,Bronze Ball
defender,Bronze Ball
forward,Bronze Boot
forward,Bronze Boot
defender,Bronze Boot
forward,Silver Boot
forward,Silver Boot
forward,Golden Ball
forward,Golden Ball
forward,Bronze Boot
forward,Bronze Boot
forward,Silver Ball
forward,Silver Ball
forward,Silver Ball
forward,Bronze Ball
forward,Bronze Ball
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
forward,Bronze Boot
goal keeper,Golden Glove
goal keeper,Golden Glove
forward,Best Young Player
midfielder,Best Young Player
forward,Golden Ball
midfielder,Golden Ball
midfielder,Golden Ball
midfielder,Golden Ball
forward,Silver Boot
midfielder,Silver Boot
midfielder,Silver Boot
midfielder,Silver Boot
midfielder,Silver Ball
defender,Silver Ball
forward,Bronze Ball
midfielder,Bronze Ball
forward,Golden Boot
midfielder,Golden Boot
forward,Bronze Boot
midfielder,Bronze Boot
forward,Bronze Boot
forward,Golden Ball
forward,Golden Ball
forward,Golden Ball
forward,Golden Ball
forward,Silver Ball
forward,Silver Ball
forward,Silver Ball
forward,Silver Ball
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
forward,Bronze Boot
forward,Bronze Boot
forward,Bronze Boot
forward,Bronze Boot
forward,Silver Ball
forward,Silver Ball
forward,Silver Ball
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
defender,Bronze Ball
defender,Bronze Ball
defender,Bronze Ball
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
forward,Best Young Player
forward,Best Young Player
forward,Best Young Player
midfielder,Golden Ball
forward,Golden Ball
forward,Golden Ball
forward,Golden Ball
midfielder,Golden Boot
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
midfielder,Silver Ball
midfielder,Silver Ball
midfielder,Golden Boot
midfielder,Golden Boot
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Ball
goal keeper,Golden Ball
goal keeper,Golden Ball
goal keeper,Golden Ball
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
defender,Bronze Ball
defender,Bronze Ball
defender,Bronze Ball
defender,Bronze Ball
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
midfielder,Silver Boot
midfielder,Silver Boot
forward,Best Young Player
forward,Best Young Player
midfielder,Best Young Player
forward,Golden Ball
forward,Golden Ball
forward,Golden Ball
forward,Golden Ball
forward,Golden Ball
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
forward,Silver Ball
forward,Silver Ball
forward,Silver Ball
forward,Silver Ball
forward,Silver Ball
forward,Silver Ball
forward,Silver Ball
forward,Silver Ball
midfielder,Bronze Ball
midfielder,Bronze Ball
forward,Bronze Ball
midfielder,Silver Boot
midfielder,Silver Boot
forward,Silver Boot
defender,Bronze Boot
forward,Bronze Boot
forward,Bronze Boot
forward,Bronze Boot
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
midfielder,Golden Ball
midfielder,Golden Ball
midfielder,Golden Ball
defender,Silver Ball
defender,Silver Ball
defender,Silver Ball
defender,Silver Ball
midfielder,Bronze Ball
midfielder,Bronze Ball
midfielder,Bronze Ball
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
forward,Best Young Player
midfielder,Best Young Player
forward,Best Young Player
forward,Golden Ball
forward,Golden Ball
forward,Golden Ball
forward,Golden Ball
forward,Golden Ball
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
forward,Golden Boot
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
forward,Bronze Ball
forward,Bronze Ball
forward,Bronze Ball
forward,Bronze Ball
forward,Bronze Ball
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
forward,Silver Ball
forward,Silver Ball
forward,Silver Ball
forward,Silver Ball
forward,Bronze Boot
forward,Bronze Boot
forward,Bronze Boot
forward,Bronze Boot
midfielder,Bronze Boot
forward,Bronze Boot
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
forward,Golden Ball
forward,Golden Ball
forward,Golden Ball
midfielder,Silver Ball
midfielder,Silver Ball
midfielder,Silver Ball
midfielder,Bronze Boot
midfielder,Bronze Boot
midfielder,Bronze Boot
forward,Bronze Ball
forward,Bronze Ball
forward,Bronze Ball
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
midfielder,Golden Boot
forward,Golden Boot
midfielder,Golden Boot
midfielder,Golden Boot
midfielder,Best Young Player
forward,Best Young Player
midfielder,Best Young Player
midfielder,Best Young Player
midfielder,Silver Ball
forward,Silver Ball
midfielder,Silver Ball
midfielder,Silver Ball
midfielder,Silver Boot
forward,Silver Boot
midfielder,Silver Boot
midfielder,Silver Boot
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
midfielder,Golden Ball
midfielder,Golden Ball
forward,Golden Ball
midfielder,Golden Ball
midfielder,Golden Ball
midfielder,Golden Ball
midfielder,Golden Boot
midfielder,Golden Boot
forward,Golden Boot
midfielder,Golden Boot
midfielder,Golden Boot
midfielder,Golden Boot
goal keeper,Bronze Ball
goal keeper,Bronze Ball
goal keeper,Bronze Ball
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
forward,Best Young Player
forward,Best Young Player
forward,Best Young Player
forward,Golden Ball
forward,Golden Ball
forward,Golden Ball
forward,Golden Ball
forward,Golden Ball
forward,Golden Ball
forward,Golden Ball
forward,Golden Ball
forward,Golden Ball
forward,Golden Ball
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
midfielder,Bronze Ball
forward,Bronze Ball
forward,Bronze Ball
midfielder,Golden Boot
midfielder,Golden Boot
forward,Bronze Boot
forward,Bronze Boot
forward,Bronze Boot
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
midfielder,Best Young Player
midfielder,Best Young Player
midfielder,Golden Ball
midfielder,Golden Ball
midfielder,Golden Ball
forward,Golden Ball
midfielder,Silver Boot
midfielder,Silver Boot
midfielder,Silver Boot
forward,Silver Boot
midfielder,Silver Ball
midfielder,Silver Ball
midfielder,Bronze Ball
midfielder,Bronze Ball
midfielder,Bronze Ball
midfielder,Bronze Ball
midfielder,Golden Boot
forward,Golden Boot
forward,Bronze Boot
forward,Bronze Boot
defender,Best Young Player
defender,Best Young Player
midfielder,Golden Ball
midfielder,Golden Ball
midfielder,Golden Ball
midfielder,Golden Ball
midfielder,Bronze Ball
midfielder,Bronze Ball
midfielder,Bronze Ball
midfielder,Bronze Ball
midfielder,Silver Ball
forward,Silver Ball
forward,Silver Ball
forward,Bronze Ball
forward,Bronze Ball
forward,Bronze Ball
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
forward,Golden Boot
forward,Golden Boot
forward,Bronze Boot
forward,Bronze Boot
forward,Bronze Boot
goal keeper,Golden Glove
goal keeper,Golden Glove
goal keeper,Golden Glove
forward,Best Young Player
forward,Best Young Player
forward,Silver Ball
forward,Silver Ball
forward,Golden Boot
forward,Golden Boot
midfielder,Golden Ball
midfielder,Golden Ball
forward,Golden Ball
midfielder,Golden Boot
midfielder,Golden Boot
forward,Golden Boot
defender,Silver Ball
defender,Silver Ball
midfielder,Bronze Ball
forward,Silver Boot
forward,Silver Boot
forward,Silver Boot
forward,Bronze Boot
forward,Bronze Boot
forward,Bronze Boot
goal keeper,Golden Glove
goal keeper,Golden Glove
defender,Best Young Player
forward,Bronze Boot
forward,Bronze Boot
forward,Bronze Boot
goal keeper,Golden Glove
midfielder,Best Young Player
