,Team,Win/Loss Ratio
0,T-30,1.7333333333333334
1,T-46,0.4722222222222222
2,T-83,2.04
3,T-06,1.1
4,T-87,1.1428571428571428
5,T-09,3.125
6,T-61,0.8
7,T-56,0.5
8,T-03,1.65625
9,T-13,0.6666666666666666
10,T-07,0.0
11,T-55,0.8
12,T-84,1.2380952380952381
13,T-05,0.9230769230769231
14,T-21,0.7857142857142857
15,T-31,3.2
16,T-36,1.0714285714285714
17,T-26,0.0
18,T-41,2.08
19,T-73,1.2222222222222223
20,T-74,1.34375
21,T-75,0.6521739130434783
22,T-48,2.235294117647059
23,T-19,1.0
24,T-23,0.0
25,T-53,1.6875
26,T-57,1.1333333333333333
27,T-28,1.5483870967741935
28,T-64,0.2857142857142857
29,T-71,0.3103448275862069
30,T-86,3.25
31,T-80,1.25
32,T-52,0.6
33,T-85,0.3333333333333333
34,T-72,1.5
35,T-16,0.6666666666666666
36,T-10,0.26666666666666666
37,T-51,0.3076923076923077
38,T-58,1.5
39,T-40,0.0
40,T-27,0.0
41,T-47,0.5454545454545454
42,T-24,1.0
43,T-04,0.4230769230769231
44,T-88,0.0
45,T-34,0.0
46,T-79,0.3
47,T-38,0.2727272727272727
48,T-11,0.4444444444444444
49,T-49,0.0
50,T-01,0.42857142857142855
51,T-35,0.0
52,T-45,0.0
53,T-12,0.4
54,T-39,0.0
55,T-22,0.631578947368421
56,T-82,0.0
57,T-17,0.5833333333333334
58,T-60,0.75
59,T-14,1.2142857142857142
60,T-50,0.3225806451612903
61,T-44,0.7586206896551724
62,T-15,0.3333333333333333
63,T-62,0.8181818181818182
64,T-63,0.3076923076923077
65,T-33,0.2857142857142857
66,T-70,0.3333333333333333
67,T-43,0.2
68,T-18,1.8888888888888888
69,T-32,0.4
70,T-65,1.25
71,T-69,0.25
72,T-25,0.5555555555555556
73,T-78,0.0
74,T-42,0.375
75,T-67,0.0
76,T-02,0.0
77,T-20,0.5
78,T-77,0.0
79,T-81,1.5
80,T-66,0.3333333333333333
81,T-68,0.5
82,T-29,0.0
83,T-08,0.5
84,T-76,0.2
85,T-37,0.0
86,T-54,0.0
87,T-59,0.0
