team_id,win_probability
T-01,0.25
T-02,0.0
T-03,0.5
T-04,0.26
T-05,0.36
T-06,0.44
T-07,0.0
T-08,0.33
T-09,0.7
T-10,0.1
T-11,0.23
T-12,0.22
T-13,0.33
T-14,0.54
T-15,0.33
T-16,0.38
T-17,0.29
T-18,0.44
T-20,0.33
T-21,0.24
T-22,0.37
T-24,0.33
T-25,0.33
T-26,0.0
T-27,0.0
T-28,0.5
T-29,0.0
T-30,0.51
T-31,0.71
T-32,0.24
T-33,0.22
T-34,0.0
T-35,0.0
T-36,0.45
T-37,0.0
T-38,0.17
T-39,0.0
T-40,0.0
T-41,0.47
T-42,0.25
T-43,0.17
T-44,0.36
T-45,0.0
T-46,0.27
T-47,0.22
T-48,0.64
T-49,0.0
T-50,0.24
T-51,0.22
T-52,0.18
T-53,0.63
T-54,0.0
T-55,0.32
T-56,0.29
T-57,0.47
T-58,0.54
T-59,0.0
T-60,0.22
T-61,0.5
T-62,0.44
T-63,0.22
T-64,0.15
T-65,0.44
T-66,0.22
T-67,0.0
T-68,0.33
T-69,0.17
T-70,0.17
T-71,0.17
T-72,0.57
T-73,0.45
T-74,0.44
T-75,0.38
T-76,0.17
T-77,0.0
T-78,0.0
T-79,0.17
T-80,0.4
T-81,0.67
T-82,0.0
T-83,0.53
T-84,0.46
T-85,0.0
T-86,0.57
T-87,0.5
T-88,0.0
