,key_id,tournament_id,position,team_id
0,1,WC-1930,1,T-84
1,2,WC-1930,2,T-03
2,3,WC-1930,3,T-83
3,4,WC-1930,4,T-87
4,5,WC-1934,1,T-41
5,6,WC-1934,2,T-21
6,7,WC-1934,3,T-31
7,8,WC-1934,4,T-05
8,9,WC-1938,1,T-41
9,10,WC-1938,2,T-36
10,11,WC-1938,3,T-09
11,12,WC-1938,4,T-74
12,13,WC-1950,1,T-84
13,14,WC-1950,2,T-09
14,15,WC-1950,3,T-74
15,16,WC-1950,4,T-73
16,17,WC-1954,1,T-86
17,18,WC-1954,2,T-36
18,19,WC-1954,3,T-05
19,20,WC-1954,4,T-84
20,21,WC-1958,1,T-09
21,22,WC-1958,2,T-74
22,23,WC-1958,3,T-30
23,24,WC-1958,4,T-86
24,25,WC-1962,1,T-09
25,26,WC-1962,2,T-21
26,27,WC-1962,3,T-13
27,28,WC-1962,4,T-87
28,29,WC-1966,1,T-28
29,30,WC-1966,2,T-86
30,31,WC-1966,3,T-58
31,32,WC-1966,4,T-72
32,33,WC-1970,1,T-09
33,34,WC-1970,2,T-41
34,35,WC-1970,3,T-86
35,36,WC-1970,4,T-84
36,37,WC-1974,1,T-86
37,38,WC-1974,2,T-48
38,39,WC-1974,3,T-57
39,40,WC-1974,4,T-09
40,41,WC-1978,1,T-03
41,42,WC-1978,2,T-48
42,43,WC-1978,3,T-09
43,44,WC-1978,4,T-41
44,45,WC-1982,1,T-41
45,46,WC-1982,2,T-86
46,47,WC-1982,3,T-57
47,48,WC-1982,4,T-30
48,49,WC-1986,1,T-03
49,50,WC-1986,2,T-86
50,51,WC-1986,3,T-30
51,52,WC-1986,4,T-06
52,53,WC-1990,1,T-86
53,54,WC-1990,2,T-03
54,55,WC-1990,3,T-41
55,56,WC-1990,4,T-28
56,57,WC-1991,1,T-83
57,58,WC-1991,2,T-53
58,59,WC-1991,3,T-74
59,60,WC-1991,4,T-31
60,61,WC-1994,1,T-09
61,62,WC-1994,2,T-41
62,63,WC-1994,3,T-74
63,64,WC-1994,4,T-10
64,65,WC-1995,1,T-53
65,66,WC-1995,2,T-31
66,67,WC-1995,3,T-83
67,68,WC-1995,4,T-14
68,69,WC-1998,1,T-30
69,70,WC-1998,2,T-09
70,71,WC-1998,3,T-18
71,72,WC-1998,4,T-48
72,73,WC-1999,1,T-83
73,74,WC-1999,2,T-14
74,75,WC-1999,3,T-09
75,76,WC-1999,4,T-53
76,77,WC-2002,1,T-09
77,78,WC-2002,2,T-31
78,79,WC-2002,3,T-80
79,80,WC-2002,4,T-71
80,81,WC-2003,1,T-31
81,82,WC-2003,2,T-74
82,83,WC-2003,3,T-83
83,84,WC-2003,4,T-12
84,85,WC-2006,1,T-41
85,86,WC-2006,2,T-30
86,87,WC-2006,3,T-31
87,88,WC-2006,4,T-58
88,89,WC-2007,1,T-31
89,90,WC-2007,2,T-09
90,91,WC-2007,3,T-83
91,92,WC-2007,4,T-53
92,93,WC-2010,1,T-73
93,94,WC-2010,2,T-48
94,95,WC-2010,3,T-31
95,96,WC-2010,4,T-84
96,97,WC-2011,1,T-44
97,98,WC-2011,2,T-83
98,99,WC-2011,3,T-74
99,100,WC-2011,4,T-30
100,101,WC-2014,1,T-31
101,102,WC-2014,2,T-03
102,103,WC-2014,3,T-48
103,104,WC-2014,4,T-09
104,105,WC-2015,1,T-83
105,106,WC-2015,2,T-44
106,107,WC-2015,3,T-28
107,108,WC-2015,4,T-31
108,109,WC-2018,1,T-30
109,110,WC-2018,2,T-18
110,111,WC-2018,3,T-06
111,112,WC-2018,4,T-28
112,113,WC-2019,1,T-83
113,114,WC-2019,2,T-48
114,115,WC-2019,3,T-74
115,116,WC-2019,4,T-28
116,117,WC-2022,1,T-03
117,118,WC-2022,2,T-30
118,119,WC-2022,3,T-18
119,120,WC-2022,4,T-47
